node_number,edge_number,path_number,f1_score,f1_pair_score
10,17,32,0.7969348659003832,0.43283582089552247
10,17,32,0.8585365853658536,0.45248868778280543
10,17,59,0.6862385321100917,0.31044776119402984
10,17,107,0.8504079782411604,0.43636363636363634
10,17,103,0.6779661016949152,0.2175732217573222
10,17,31,0.7863247863247863,0.5454545454545454
10,17,33,0.9047619047619047,0.163265306122449
10,17,62,0.9526813880126183,0.3524904214559387
10,17,62,0.8163265306122449,0.5970149253731344
10,17,108,0.9351669941060903,0.8010610079575597
10,17,108,0.7243947858472999,0.3392857142857143
10,17,105,0.737313432835821,0.3922518159806296
10,17,32,0.6931407942238267,0.2235294117647059
10,17,29,0.7702702702702704,0.301038062283737
10,17,64,0.9070631970260223,0.3197831978319783
10,17,61,0.7802197802197802,0.4744744744744745
10,17,63,0.6282722513089005,0.20168067226890757
10,17,104,0.845724907063197,0.4189526184538654
10,17,108,0.7821782178217822,0.3658243080625752
10,17,29,0.923076923076923,0.7692307692307693
10,17,28,0.8099173553719008,0.4694835680751174
10,17,30,1.0,0.7017543859649124
10,17,56,0.7272727272727273,0.4429065743944636
10,17,59,0.9044585987261146,0.8245614035087719
10,17,63,0.988391376451078,0.5503875968992249
10,17,100,0.8256070640176602,0.5106382978723404
10,17,101,0.8682505399568033,0.7508090614886732
10,17,105,0.9439601494396015,0.35625
