node_number,edge_number,path_number,f1_score,f1_pair_score
5,7,11,1.0,0.6956521739130436
5,7,11,1.0,0.8470588235294119
5,7,9,1.0,1.0
5,7,23,0.9714285714285714,0.8405797101449275
5,7,18,1.0,0.7460317460317459
5,7,27,0.921875,0.7222222222222222
5,7,33,0.9484536082474228,0.3232323232323232
5,7,8,1.0,0.8524590163934427
5,7,13,0.0,0.0
5,7,16,0.9014084507042254,0.5625
5,7,23,1.0,1.0
5,7,15,0.9204545454545454,0.5411764705882353
5,7,35,0.8808290155440415,0.6491228070175439
5,7,28,1.0,1.0
5,7,13,1.0,1.0
5,7,9,1.0,0.8125000000000001
5,7,10,0.0,0.0
5,7,16,0.0,0.0
5,7,24,0.88,0.5833333333333334
5,7,38,0.9972144846796658,0.56
5,7,31,0.9361702127659575,0.5818181818181819
5,7,35,0.8181818181818181,0.49557522123893805
5,7,10,1.0,0.5416666666666667
5,7,24,0.9447852760736196,0.5714285714285715
5,7,21,0.888888888888889,0.0
5,7,22,0.8607594936708861,0.4657534246575342
5,7,33,0.0,0.0
5,7,34,0.9919354838709677,0.8027210884353742
5,7,27,0.869047619047619,0.6262626262626263
