node_number,edge_number,path_number,f1_score,f1_pair_score
15,25,49,1.0,1.0
15,25,46,0.9470588235294117,0.71
15,25,44,0.8818897637795275,0.7352941176470588
15,25,94,1.0,1.0
15,25,96,0.848297213622291,0.17100371747211895
15,25,89,0.8249299719887955,0.3864168618266979
15,25,48,0.6679245283018868,0.2823529411764706
15,25,47,0.711779448621554,0.1492537313432836
15,25,85,0.9438669438669438,0.5610859728506788
15,25,45,0.6218487394957983,0.3
15,25,47,0.555008210180624,0.20270270270270271
15,25,46,0.736318407960199,0.39097744360902253
15,25,95,0.852589641434263,0.5859375
15,25,92,0.5591836734693878,0.203288490284006
15,25,95,0.7678958785249457,0.40204429301533223
15,25,48,0.7935409457900808,0.31771894093686354
15,25,47,0.7702702702702703,0.5953488372093023
15,25,47,0.8316008316008316,0.4916666666666667
15,25,92,0.6886171213546567,0.23188405797101452
15,25,94,0.5708460754332314,0.23388305847076463
15,25,91,0.7633769322235434,0.3178807947019867
