node_number,edge_number,path_number,f1_score,f1_pair_score
7,12,20,1.0,0.6923076923076924
7,12,19,0.7954545454545454,0.36781609195402304
7,12,38,0.8401084010840109,0.441025641025641
7,12,39,0.9505703422053232,0.6190476190476191
7,12,42,0.8248175182481753,0.26153846153846155
7,12,66,0.9426751592356688,0.4928909952606635
7,12,70,0.851063829787234,0.2809917355371901
7,12,20,0.0,0.0
7,12,20,0.8627450980392156,0.6557377049180327
7,12,34,0.5,0.0
7,12,67,0.9211746522411127,0.452054794520548
7,12,62,0.9477434679334916,0.4085510688836104
7,12,76,0.7494145199063231,0.2521739130434783
7,12,20,0.870967741935484,0.5252525252525252
7,12,21,0.8571428571428571,0.4
7,12,17,0.9667673716012084,0.5151116951379764
7,12,42,0.9254385964912281,0.6209677419354839
7,12,38,0.9562841530054645,0.7210300429184548
7,12,39,1.0,0.8073394495412844
7,12,71,0.9306930693069307,0.3296703296703297
7,12,21,0.8118811881188119,0.1276595744680851
7,12,20,0.8314087759815243,0.14893617021276595
7,12,65,0.9722222222222222,0.5862068965517241
7,12,69,1.0,0.5645645645645646
