node_number,edge_number,path_number,f1_score,f1_pair_score
12,20,19,0.9387755102040816,0.8405797101449275
12,20,38,0.6952380952380952,0.3125
12,20,70,0.7660377358490567,0.4131736526946108
12,20,130,0.9644171779141105,0.2864450127877238
12,20,18,0.9411764705882353,0.13333333333333333
12,20,37,0.826530612244898,0.13333333333333333
12,20,74,0.7145631067961166,0.5027932960893855
12,20,124,1.0,1.0
12,20,19,1.0,0.5308641975308642
12,20,35,0.9295774647887324,0.7727272727272727
12,20,120,0.9386792452830188,0.5795601552393272
